step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,imbalance_active,upsilon_beta_ratio,convergence_error,phase_limit,structural_deviation,emission_count,psi_transformed,microtick_phase
19,5,1,1,1,1,30751,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
19,6,1,1,1,1,30894,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
19,7,1,1,1,1,31037,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
19,8,1,1,1,1,31180,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
19,9,1,1,1,1,31323,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
19,10,1,1,1,1,31466,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
19,11,1,1,1,1,31609,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
20,1,1,1,1,1,31752,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
20,2,1,1,1,1,31895,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
20,3,1,1,1,1,32038,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
20,4,1,1,1,1,32181,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
20,5,1,1,1,1,32324,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
20,6,1,1,1,1,32467,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
